_id,RegionID,SizeRank,RegionName,RegionType,StateName,City,latitude,longitude,2018,2019,2020,2021,2022,2023,2024,2025
67dcb150cd5cf3aa41dd43f1,102001,0,United States,country,,United States,39.7837304,-100.445882,50.6,61.5,54.583333333333336,31.166666666666668,28.5,40.083333333333336,45.25,62.0
67dcb150cd5cf3aa41dd43f2,394913,1,"New York, NY",msa,NY,New York,40.7127281,-74.0060152,73.6,92.0,83.25,67.41666666666667,58.166666666666664,61.416666666666664,58.583333333333336,71.0
67dcb150cd5cf3aa41dd43f3,753899,2,"Los Angeles, CA",msa,CA,Los Angeles,34.0536909,-118.242766,37.9,49.916666666666664,38.75,26.916666666666668,27.916666666666668,37.25,36.166666666666664,51.0
67dcb150cd5cf3aa41dd43f4,394514,4,"Dallas, TX",msa,TX,Dallas,32.7762719,-96.7968559,45.0,57.25,52.833333333333336,31.416666666666668,24.166666666666668,37.416666666666664,48.333333333333336,70.0
67dcb150cd5cf3aa41dd43f5,394692,5,"Houston, TX",msa,TX,Houston,29.7589382,-95.3676974,50.9,63.333333333333336,58.75,33.416666666666664,31.0,46.5,56.666666666666664,74.0
67dcb150cd5cf3aa41dd43f6,395209,6,"Washington, DC",msa,VA,Washington,38.7129721,-78.1593468,43.1,42.0,31.083333333333332,19.5,22.583333333333332,26.166666666666668,25.166666666666668,37.0
67dcb150cd5cf3aa41dd43f7,394856,8,"Miami, FL",msa,FL,Miami,25.7741728,-80.19362,69.2,85.75,84.25,58.666666666666664,37.083333333333336,54.583333333333336,71.0,91.5
67dcb150cd5cf3aa41dd43f8,394347,9,"Atlanta, GA",msa,GA,Atlanta,33.7489924,-84.3902644,37.3,46.833333333333336,46.666666666666664,23.75,26.25,41.083333333333336,49.583333333333336,73.5
67dcb150cd5cf3aa41dd43f9,394974,7,"Philadelphia, PA",msa,PA,Philadelphia,39.9527237,-75.1635262,55.7,56.416666666666664,44.666666666666664,25.833333333333332,25.583333333333332,29.666666666666668,30.5,40.5
67dcb150cd5cf3aa41dd43fa,394463,3,"Chicago, IL",msa,IL,Chicago,41.8755616,-87.6244212,49.0,61.583333333333336,57.166666666666664,35.666666666666664,31.75,34.083333333333336,32.333333333333336,47.5
67dcb150cd5cf3aa41dd43fb,394404,10,"Boston, MA",msa,MA,Boston,42.3554334,-71.060511,29.9,38.333333333333336,32.833333333333336,22.416666666666668,22.25,25.833333333333332,25.75,40.0
67dcb150cd5cf3aa41dd43fc,395057,12,"San Francisco, CA",msa,CA,San Francisco,37.7792588,-122.4193286,24.5,33.583333333333336,29.583333333333332,22.333333333333332,26.25,33.416666666666664,33.666666666666664,46.5
