_id,RegionID,SizeRank,RegionName,RegionType,StateName,City,latitude,longitude,2018,2019,2020,2021,2022,2023,2024,2025
67dcb116c9d994bb9973031f,102001,0,United States,country,,United States,39.7837304,-100.445882,33665,22941,22896,29090,35643,36833,29654,13833
67dcb116c9d994bb99730320,394913,1,"New York, NY",msa,NY,New York,40.7127281,-74.0060152,519,441,489,525,500,441,342,222
67dcb116c9d994bb99730321,753899,2,"Los Angeles, CA",msa,CA,Los Angeles,34.0536909,-118.242766,395,273,202,215,157,189,176,109
67dcb116c9d994bb99730322,394463,3,"Chicago, IL",msa,IL,Chicago,41.8755616,-87.6244212,327,312,340,410,445,425,397,228
67dcb116c9d994bb99730323,394514,4,"Dallas, TX",msa,TX,Dallas,32.7762719,-96.7968559,1419,871,796,722,1188,1674,1208,369
67dcb116c9d994bb99730324,394692,5,"Houston, TX",msa,TX,Houston,29.7589382,-95.3676974,1377,697,804,1005,1697,1829,1495,607
67dcb116c9d994bb99730325,395209,6,"Washington, DC",msa,VA,Washington,38.7129721,-78.1593468,860,442,363,433,528,543,449,205
67dcb116c9d994bb99730326,394974,7,"Philadelphia, PA",msa,PA,Philadelphia,39.9527237,-75.1635262,244,209,202,320,342,260,231,127
67dcb116c9d994bb99730327,394347,9,"Atlanta, GA",msa,GA,Atlanta,33.7489924,-84.3902644,1629,1264,1397,1324,1231,1156,883,400
67dcb116c9d994bb99730328,394856,8,"Miami, FL",msa,FL,Miami,25.7741728,-80.19362,680,285,240,358,300,282,187,88
67dcb116c9d994bb99730329,394976,11,"Phoenix, AZ",msa,AZ,Phoenix,33.4484367,-112.074141,586,1049,603,572,751,964,705,431
67dcb116c9d994bb9973032a,395057,12,"San Francisco, CA",msa,CA,San Francisco,37.7792588,-122.4193286,155,97,65,99,132,101,87,46
67dcb116c9d994bb9973032b,394404,10,"Boston, MA",msa,MA,Boston,42.3554334,-71.060511,253,203,244,287,265,259,203,119
67dcb116c9d994bb9973032c,395025,13,"Riverside, CA",msa,CA,Riverside,33.9824949,-117.374238,393,122,117,128,276,336,279,108
67dcb116c9d994bb9973032d,394532,14,"Detroit, MI",msa,MI,Detroit,42.3315509,-83.0466403,310,209,194,241,244,197,168,103
67dcb116c9d994bb9973032e,395078,15,"Seattle, WA",msa,WA,Seattle,47.6038321,-122.330062,607,387,268,609,568,492,318,279
67dcb116c9d994bb9973032f,394865,16,"Minneapolis, MN",msa,MN,Minneapolis,44.9772995,-93.2654692,506,422,438,454,454,432,404,226
67dcb116c9d994bb99730330,395056,17,"San Diego, CA",msa,CA,San Diego,32.7174202,-117.162772,143,51,54,44,40,49,39,19
67dcb116c9d994bb99730331,395148,18,"Tampa, FL",msa,FL,Tampa,27.9477595,-82.458444,518,535,465,540,646,786,601,204
67dcb116c9d994bb99730332,394530,19,"Denver, CO",msa,CO,Denver,39.7392364,-104.984862,681,520,331,258,343,376,334,148
67dcb116c9d994bb99730333,394358,20,"Baltimore, MD",msa,MD,Baltimore,39.2908816,-76.610759,280,158,179,192,177,167,156,96
67dcb116c9d994bb99730334,395121,21,"St. Louis, MO",msa,MO,St. Louis,38.6280278,-90.1910154,156,99,114,112,96,123,112,49
67dcb116c9d994bb99730335,394943,22,"Orlando, FL",msa,FL,Orlando,28.5421109,-81.3790304,798,463,288,296,454,564,437,184
67dcb116c9d994bb99730336,394458,23,"Charlotte, NC",msa,NC,Charlotte,35.2272086,-80.8430827,637,510,366,690,880,820,622,293
67dcb116c9d994bb99730337,395055,24,"San Antonio, TX",msa,TX,San Antonio,29.4246002,-98.4951405,343,265,348,503,616,848,650,360
67dcb116c9d994bb99730338,394998,25,"Portland, OR",msa,OR,Portland,45.5202471,-122.674194,474,372,316,414,388,292,309,150
67dcb116c9d994bb99730339,395045,26,"Sacramento, CA",msa,CA,Sacramento,38.5810606,-121.493895,392,284,184,133,327,236,104,33
67dcb116c9d994bb9973033a,394982,27,"Pittsburgh, PA",msa,PA,Pittsburgh,40.4416941,-79.9900861,59,52,55,65,65,60,51,33
67dcb116c9d994bb9973033b,394466,28,"Cincinnati, OH",msa,OH,Cincinnati,39.1014537,-84.5124602,166,93,103,133,144,140,91,34
67dcb116c9d994bb9973033c,394355,29,"Austin, TX",msa,TX,Austin,30.2711286,-97.7436995,483,313,334,355,656,809,612,274
67dcb116c9d994bb9973033d,394775,30,"Las Vegas, NV",msa,NV,Las Vegas,36.1672559,-115.148516,723,215,167,137,280,285,180,60
