_id,RegionID,SizeRank,RegionName,RegionType,StateName,City,latitude,longitude,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
67dcb0d77fba7c5360619c8e,394463,3,"Chicago, IL",msa,IL,Chicago,41.8755616,-87.6244212,1418.71,1459.13,1496.61,1532.71,1576.01,1585.56,1634.02,1791.87,1904.71,2005.02,2071.96
67dcb0d77fba7c5360619c8f,753899,2,"Los Angeles, CA",msa,CA,Los Angeles,34.0536909,-118.242766,1865.47,1980.71,2096.29,2196.43,2285.09,2306.8,2442.85,2734.76,2818.81,2892.57,2968.19
67dcb0d77fba7c5360619c90,394692,5,"Houston, TX",msa,TX,Houston,29.7589382,-95.3676974,1233.51,1244.81,1262.74,1309.46,1332.97,1350.59,1435.87,1563.89,1612.7,1648.84,1672.22
67dcb0d77fba7c5360619c91,102001,0,United States,country,,United States,39.7837304,-100.445882,1222.89,1272.73,1324.98,1379.93,1437.58,1473.55,1597.77,1797.54,1874.75,1937.57,1977.5
67dcb0d77fba7c5360619c92,394514,4,"Dallas, TX",msa,TX,Dallas,32.7762719,-96.7968559,1120.56,1176.19,1234.28,1281.26,1330.18,1358.02,1492.13,1689.01,1724.25,1727.49,1739.04
67dcb0d77fba7c5360619c93,394913,1,"New York, NY",msa,NY,New York,40.7127281,-74.0060152,2264.6,2320.26,2360.93,2405.59,2477.63,2388.51,2453.97,2861.41,3011.62,3126.94,3213.41
67dcb0d77fba7c5360619c94,395209,6,"Washington, DC",msa,VA,Washington,38.7129721,-78.1593468,1699.7,1729.49,1768.91,1810.52,1867.04,1874.92,1931.86,2105.94,2189.52,2291.77,2357.88
67dcb0d77fba7c5360619c95,394974,7,"Philadelphia, PA",msa,PA,Philadelphia,39.9527237,-75.1635262,1249.67,1282.75,1321.96,1366.04,1419.08,1460.7,1552.71,1696.92,1760.66,1830.21,1879.5
67dcb0d77fba7c5360619c96,394856,8,"Miami, FL",msa,FL,Miami,25.7741728,-80.19362,1503.6,1558.84,1599.56,1648.67,1698.28,1742.32,2026.33,2491.16,2596.62,2655.23,2692.42
67dcb0d77fba7c5360619c97,394347,9,"Atlanta, GA",msa,GA,Atlanta,33.7489924,-84.3902644,1053.54,1114.05,1184.97,1260.17,1338.07,1401.17,1604.05,1799.67,1840.2,1857.35,1882.04
67dcb0d77fba7c5360619c98,394404,10,"Boston, MA",msa,MA,Boston,42.3554334,-71.060511,2088.5,2170.06,2249.72,2327.55,2406.39,2403.88,2446.42,2714.55,2896.7,3023.8,3094.09
67dcb0d77fba7c5360619c99,394976,11,"Phoenix, AZ",msa,AZ,Phoenix,33.4484367,-112.074141,963.98,1016.6,1078.91,1154.91,1248.46,1341.33,1581.39,1778.38,1786.8,1800.5,1812.21
67dcb0d77fba7c5360619c9a,395057,12,"San Francisco, CA",msa,CA,San Francisco,37.7792588,-122.4193286,2360.36,2501.94,2581.18,2677.22,2758.16,2728.54,2671.62,2869.52,2894.68,2943.62,3019.62
67dcb0d77fba7c5360619c9b,395025,13,"Riverside, CA",msa,CA,Riverside,33.9824949,-117.374238,1355.14,1423.82,1514.41,1607.83,1693.25,1790.99,2083.03,2338.82,2406.11,2480.58,2553.65
67dcb0d77fba7c5360619c9c,394532,14,"Detroit, MI",msa,MI,Detroit,42.3315509,-83.0466403,874.65,905.29,947.87,990.17,1034.37,1082.02,1197.17,1310.68,1355.27,1421.74,1462.33
67dcb0d77fba7c5360619c9d,395078,15,"Seattle, WA",msa,WA,Seattle,47.6038321,-122.330062,1404.82,1511.47,1624.6,1689.76,1760.21,1788.23,1868.65,2078.82,2119.27,2193.27,2239.62
67dcb0d77fba7c5360619c9e,394865,16,"Minneapolis, MN",msa,MN,Minneapolis,44.9772995,-93.2654692,1153.09,1200.21,1261.08,1319.59,1377.59,1409.7,1451.02,1528.24,1569.36,1617.42,1650.12
67dcb0d77fba7c5360619c9f,395056,17,"San Diego, CA",msa,CA,San Diego,32.7174202,-117.162772,1696.65,1792.47,1901.39,2001.98,2079.37,2131.57,2355.7,2727.43,2869.1,2932.29,3008.29
67dcb0d77fba7c5360619ca0,395148,18,"Tampa, FL",msa,FL,Tampa,27.9477595,-82.458444,1098.34,1154.97,1214.8,1280.01,1340.69,1404.13,1646.29,1943.58,2017.24,2056.77,2113.46
67dcb0d77fba7c5360619ca1,394530,19,"Denver, CO",msa,CO,Denver,39.7392364,-104.984862,1293.38,1357.89,1414.76,1472.59,1529.46,1550.6,1659.42,1831.5,1891.02,1927.12,1910.73
67dcb0d77fba7c5360619ca2,394358,20,"Baltimore, MD",msa,MD,Baltimore,39.2908816,-76.610759,1307.56,1324.23,1345.2,1368.59,1402.01,1428.9,1542.43,1671.5,1726.26,1785.45,1835.8
